"min_ma","max_ma","r_number","name","formation","system","series","intervall","time_slice","reliabilit","subsurface","type","thickness","m_thick","width","m_width","extension","m_ext","ext_belt","belonging","tropical","environmen","subenviron","bathymetry","biota_main","biota_sec","biota_deta","alg_type","p_lmc","p_arag","p_hmc","upwell","control","diversity","m_spec","guild","macro_bor","micro_bor","vert_zonat","hor_zonat","micrite","sparite","debris","dolomite","reservoir","ref1","ref2","remarks","country","latit","longit","collection","pal_lat_m","pal_long_m","pal_lat_scotese","pal_long_scotese"
"139.80","145.00","1173","Cat Island Escarpment","","Cretaceous","Lower Cretaceous","Berriasian","22","1","0","2","1","","","","2","","30","","0","1","1a","1","2","1","50","1","10","50","40","0","0","2","","","","1","","","","","3","0","0","727","0","Mostly fore reef deposits.","Bahamas","24.7333","-75.5083","","14.5897380934","-26.2602549882","17.667","-29.1762"
"93.90","100.50","1174","Cat Island Escarpment III","","Cretaceous","Upper Cretaceous","Cenomanian","24","2","0","","1","","","","2","","30","","0","1","1a","1","2","5","50","1","20","10","70","0","0","2","","","","1","","","","","3","0","0","727","0","Mostly fore reef deposits.","Bahamas","24.7333","-75.5083","","21.6497920002","-44.3941735038","18.8158","-43.9895"
"100.50","113.00","1175","Villasana de Mena","","Cretaceous","Lower Cretaceous","Albian","24","2","0","1","2","","","","4","","5","","0","2","2c","1","1","2","50","1","5","70","25","0","0","2","","1","1","1","","","2","1","2","0","0","728","746","Reef core with coralgal fabric with coralline sponges. Framestones and floatstones. Reef flat with caprinid rudists and rhodoliths. 
Reef growth related to salt diapir.
Surrounding facies with prodelta muds.
No marine cements.","Spain","43.0833","-3.2667","","33.6552361816","3.49154429827","31.8754","3.818"
"100.50","113.00","1176","Murguía","","Cretaceous","Lower Cretaceous","Albian","24","2","0","1","2","","","","4","","5","","0","2","2c","1","1","2","50","1","5","70","25","0","0","2","","1","1","1","","","2","1","2","0","0","728","746","see reef 1175 for remarks.","Spain","42.95","-2.8167","","33.4251823553","3.81592005786","31.6344","4.12453"
"100.50","113.00","1177","Albéniz","","Cretaceous","Lower Cretaceous","middle-upper Albian","24","3","0","1","3","","","","4","","30","","0","2","2c","1","1","6","50","","10","90","0","0","0","3","","1","","","","","2","2","3","0","0","728","746","Shelf margin island platform. 
Transgressive cycle.
Uppermost middle Albian to lower late Albian.
Reef core with coralgal framwork with coralline sponges. Reef flat with caprinid rudists.
Overall diversity is higher than in diapir reefs.
Common marine cements.","Spain","42.8833","-2.3167","","33.2473776246","4.20729864555","31.4433","4.49931"
"93.90","113.00","1178","Taninul","El Abra","Cretaceous","Lower Cretaceous","Albian/Cenomanian","24","2","0","2","2","","","","4","","50","","0","2","2a","1","5","1","91","","45","55","0","0","0","2","","2","","","1","2","2","2","3","0","1","729","747","Boundstones only 35 % of section.
Other are grain- and packstones.
Rudists strongly dominating. 
6 % of reef builders are corals.

Abstract of ref. 757:
The macrofaunal distribution of the mid-Cretaceous El Abra Limestone reef core is quantified from two measured sections in Taninul Quarry, San Luis Potosi, central Mexico. The faunal structure is transitional between typical Lower Cretaceous reefs dominated by corals with low density rudist bivalve packing. And densely-packed, rudist-dominated
Upper Cretaceous reefs. The macrofauna is predominantly associations of unconnected individuals of caprinid rudists,  with a low diversity of other shelly mollusks and corals. An examination of the alternation of paleocommunities defined  by the dominant caprinid taxa corals. An examination of the alternation of paleocommunities defined by the dominant  caprinid taxa reveals no pattern of biotic succession within the reef core. Large-scale sedimentologic features of mud  and debris content, coupled with rudist growth type, suggest that paleocommunities may have been physically controlled.","Mexico","22.0333","-98.9333","74181","22.4949993457","-64.6629553701","20.5031","-63.5668"
"72.10","83.60","1179","Jebel el Kebar","","Cretaceous","Upper Cretaceous","late Campanian","26","3","0","3","2","60","","","4","","5","","0","3","3a","1","5","1","91","","45","55","0","0","0","2","","1","","1","2","2","3","1","2","0","0","730","1187","Rudist lenses, up to 60 m thick and 150 to 1 km wide.
Hermatypic corals and various rudists (hippuritids and some caprinids).
Ref. 1187: Rudists and corals forming reef mounds.
Thickness between 15 and 50 m.
Very micritic at base rudist dominated.
Then rudist-coral association.","Tunisia","34.8833","9.4167","74533","25.6010695128","8.19791599861","21.3477","10.1077"
"72.10","83.60","1180","Jebel Serraguia","","Cretaceous","Upper Cretaceous","Campanian","26","2","0","2","2","60","","","3","","1","","0","3","3a","1","5","1","91","","45","55","0","0","0","2","","2","","","2","2","3","2","3","0","0","730","1209","Single asymmetric lense, some 60 m thick, laterally passing into breccias and conglomerates.
Some megablocks are olistoliths up to 40 m in diameter.
Mostly Sabinia as reef builder (rudist).","Tunisia","34.8333","8.5","74537","25.7295567354","7.37376104625","21.4861","9.31168"
"330.90","358.90","1181","Loughrea","","Carboniferous","Mississippian","Tournaisian/Visean","11","2","0","3","2","","","","3","","300","437","0","3","3b","2","7","11","17","","100","0","0","0","0","2","","3","","","","","3","3","1","0","0","731","0","Mostly bryozoans and siliceous sponges (spicules).","Ireland","53.2","-8.5667","76445","-4.33658475902","-47.3563700214","-9.60221","-3.97184"
"83.60","86.30","1182","Quintanaloma","","Cretaceous","Upper Cretaceous","upper Santonian","25","2","0","","1","","","","2","","50","","0","1","1a","1","5","5","72","","60","40","0","0","0","1","","2","","","","","","","3","0","0","732","0","No rudists found in situ.
Reworking by storms.","Spain","42.6667","-3.6167","","36.2745422131","-0.921569791361","32.1629","-0.553573"
