"interval_name","photic","n","bin","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
"Sakmarian","Euphotic",24,41,"international ages",293.52,291.81,290.1,3.41999999999996,"Sak","#E36F5C","black"
"Sakmarian","Unknown",36,41,"international ages",293.52,291.81,290.1,3.41999999999996,"Sak","#E36F5C","black"
"Sandbian","Blue mesophotic",49,15,"international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
"Sandbian","Brown mesophotic",25,15,"international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
"Sandbian","Euphotic",151,15,"international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
"Sandbian","Unknown",97,15,"international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
"Santonian","Brown mesophotic",55,76,"international ages",86.3,84.95,83.6,2.7,"Sant","#D9EF74","black"
"Santonian","Euphotic",98,76,"international ages",86.3,84.95,83.6,2.7,"Sant","#D9EF74","black"
"Santonian","Unknown",32,76,"international ages",86.3,84.95,83.6,2.7,"Sant","#D9EF74","black"
"Selandian","Brown mesophotic",19,80,"international ages",61.6,60.4,59.2,2.4,"Sel","#FEBF65","black"
"Selandian","Euphotic",34,80,"international ages",61.6,60.4,59.2,2.4,"Sel","#FEBF65","black"
"Selandian","Unknown",33,80,"international ages",61.6,60.4,59.2,2.4,"Sel","#FEBF65","black"
"Serpukhovian","Blue mesophotic",11,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serpukhovian","Brown mesophotic",20,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serpukhovian","Euphotic",51,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serpukhovian","Unknown",57,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serravallian","Brown mesophotic",95,91,"international ages",13.82,12.725,11.63,2.19,"Serr","#FFFF59","black"
"Serravallian","Euphotic",382,91,"international ages",13.82,12.725,11.63,2.19,"Serr","#FFFF59","black"
"Serravallian","Unknown",182,91,"international ages",13.82,12.725,11.63,2.19,"Serr","#FFFF59","black"
"Sheinwoodian","Blue mesophotic",34,21,"international ages",433.4,431.95,430.5,2.89999999999998,"Sh","#BFE6C3","black"
"Sheinwoodian","Brown mesophotic",16,21,"international ages",433.4,431.95,430.5,2.89999999999998,"Sh","#BFE6C3","black"
"Sheinwoodian","Euphotic",400,21,"international ages",433.4,431.95,430.5,2.89999999999998,"Sh","#BFE6C3","black"
"Sheinwoodian","Unknown",422,21,"international ages",433.4,431.95,430.5,2.89999999999998,"Sh","#BFE6C3","black"
"Sinemurian","Blue mesophotic",4,57,"international ages",199.5,196.2,192.9,6.59999999999999,"Si","#67BCD8","black"
"Sinemurian","Brown mesophotic",18,57,"international ages",199.5,196.2,192.9,6.59999999999999,"Si","#67BCD8","black"
